"","player_name","team_name","games","time","goals","assists","shots","key_passes","xG","xA","npxG","npxG90","xA90","npxG_plus_xA90"
"145","Tom Cairney","Fulham",17,702,1,2,8,8,0.649512744508684,1.39048734679818,0.649512744508684,0.0832708646806005,0.178267608563869,0.26153847324447
"146","Carlton Morris","Luton",18,1231,3,2,31,9,4.11282343044877,0.938425885513425,2.59048569574952,0.189393755172589,0.0686095285915583,0.258003283764147
"147","Justin Kluivert","Bournemouth",14,789,2,0,14,11,1.74248871952295,0.513779252767563,1.74248871952295,0.198762971808702,0.0586059984145509,0.257368970223253
"148","Michael Keane","Everton",5,313,1,0,5,0,0.874801605939865,0,0.874801605939865,0.251540397874083,0,0.251540397874083
"149","Jeffrey Schlupp","Crystal Palace",15,1117,1,1,13,12,1.72683203965425,1.37480197101831,1.72683203965425,0.139135974546896,0.110771868748118,0.249907843295015
"150","Mahmoud Dahoud","Brighton",9,462,0,1,6,10,0.164688309654593,1.10069604218006,0.164688309654593,0.0320821382444013,0.214421306918194,0.246503445162595
"151","Amadou Onana","Everton",14,1147,1,0,16,9,1.68866601400077,1.42230171151459,1.68866601400077,0.132502128387157,0.111601703606202,0.244103831993359
"152","Zeki Amdouni","Burnley",18,1379,2,1,30,10,2.72978650033474,1.00930661708117,2.72978650033474,0.178158654844182,0.065872077982092,0.244030732826274
"153","William Osula","Sheffield United",10,457,0,0,11,1,1.13664524257183,0.098784826695919,1.13664524257183,0.223846984313927,0.0194543422377083,0.243301326551636
"154","Issa Kabore","Luton",14,1020,0,1,6,10,0.303846094757318,2.43389346450567,0.303846094757318,0.0268099495374105,0.214755305691677,0.241565255229087
"155","Christian Nørgaard","Brentford",16,1411,1,1,24,15,1.88832671754062,1.89380743727088,1.88832671754062,0.120446069864391,0.120795655105868,0.241241724970259
"156","Facundo Buonanotte","Brighton",10,370,1,1,6,5,0.315675925463438,0.674537206068635,0.315675925463438,0.076786035923539,0.164076617692371,0.24086265361591
"157","Conor Gallagher","Chelsea",17,1437,0,4,20,23,1.31133619695902,2.51008105091751,1.31133619695902,0.0821296156759302,0.157207581477088,0.239337197153018
"158","Nathan Patterson","Everton",16,774,0,2,4,7,0.452077662572265,1.57352857291698,0.452077662572265,0.0525671700665424,0.182968438711277,0.23553560877782
"159","Harry Toffolo","Nottingham Forest",12,927,1,3,8,14,1.40978819690645,1.01386844180524,1.40978819690645,0.136872640476354,0.09843382930148,0.235306469777834
"160","Giovani Lo Celso","Tottenham",8,293,2,0,8,7,0.367881014943123,0.390247259289026,0.367881014943123,0.11300099435113,0.119871171795264,0.232872166146394
"161","Gustavo Hamer","Sheffield United",18,1485,2,2,23,27,1.02126993238926,2.65035183727741,1.02126993238926,0.0618951474175309,0.160627384077419,0.22252253149495
"162","Sergio Reguilón","Manchester United",8,401,0,0,4,7,0.21072756126523,0.762419894337654,0.21072756126523,0.0472954626281065,0.171116684514685,0.218412147142792
"163","Oliver Skipp","Tottenham",13,342,0,0,1,4,0.424388736486435,0.385698854923248,0.424388736486435,0.111681246443799,0.101499698664013,0.213180945107811
"164","Andrew Robertson","Liverpool",8,720,1,0,2,19,0.551529001444578,1.13611609023064,0.551529001444578,0.0689411251805723,0.14201451127883,0.210955636459403
